P_TOTAL,POB0_4,POB18_,PNACOENT,GRADOESCO,PCASADA12_,P_1SM,P1_2SM,P2_5SM,P6_10SM,P10_SM,T_VIVHAB,VIVPARHAB,PRO_OCVP,PRO_OVP,VP_TV,TOTHOG
800.0,109.0,360.0,40.0,5.0,273.0,15.0,121.0,24.0,2.0,0.0,133.0,133.0,2.22,6.02,111.0,133.0
701.0,92.0,371.0,12.0,5.0,286.0,10.0,66.0,16.0,3.0,37.0,142.0,140.0,2.01,4.95,121.0,141.0
965.0,119.0,479.0,122.0,6.0,347.0,36.0,118.0,54.0,4.0,1.0,176.0,175.0,2.08,5.49,157.0,187.0
597.0,86.0,275.0,87.0,5.0,199.0,23.0,65.0,8.0,2.0,0.0,113.0,111.0,2.32,5.31,90.0,113.0
559.0,105.0,256.0,43.0,6.0,211.0,7.0,53.0,27.0,1.0,0.0,96.0,96.0,2.65,5.82,82.0,102.0
800.0,108.0,417.0,9.0,6.0,329.0,10.0,63.0,38.0,0.0,0.0,170.0,170.0,1.61,4.71,162.0,175.0
2691.0,397.0,1371.0,278.0,7.0,984.0,29.0,305.0,292.0,29.0,11.0,504.0,504.0,2.1,5.34,456.0,515.0
476.0,65.0,242.0,10.0,5.0,187.0,9.0,45.0,27.0,1.0,0.0,95.0,95.0,1.63,5.01,86.0,97.0
180.0,19.0,98.0,14.0,6.0,69.0,2.0,13.0,15.0,2.0,0.0,39.0,39.0,1.48,4.62,36.0,39.0
462.0,67.0,235.0,118.0,6.0,185.0,7.0,39.0,45.0,3.0,0.0,93.0,93.0,2.02,4.97,86.0,94.0
257.0,41.0,135.0,12.0,6.0,100.0,2.0,31.0,11.0,1.0,0.0,57.0,57.0,1.92,4.51,53.0,59.0
638.0,83.0,306.0,33.0,5.0,217.0,5.0,65.0,32.0,0.0,25.0,117.0,115.0,2.23,5.48,93.0,119.0
280.0,32.0,133.0,11.0,5.0,94.0,2.0,33.0,15.0,0.0,0.0,51.0,51.0,1.7,5.49,48.0,52.0
1803.0,273.0,895.0,464.0,6.0,647.0,72.0,299.0,134.0,10.0,2.0,336.0,336.0,1.74,5.37,315.0,346.0
848.0,103.0,370.0,168.0,5.0,289.0,13.0,32.0,24.0,0.0,1.0,138.0,138.0,2.29,6.14,132.0,146.0
591.0,82.0,289.0,33.0,4.0,224.0,3.0,76.0,37.0,1.0,0.0,102.0,102.0,2.75,5.79,85.0,116.0
1197.0,180.0,620.0,199.0,6.0,469.0,37.0,179.0,112.0,10.0,1.0,238.0,238.0,1.94,5.03,214.0,247.0
874.0,137.0,408.0,21.0,5.0,312.0,12.0,79.0,24.0,1.0,0.0,171.0,171.0,1.72,5.11,151.0,174.0
966.0,143.0,465.0,250.0,6.0,348.0,23.0,109.0,60.0,2.0,1.0,173.0,173.0,2.2,5.58,157.0,183.0
328.0,47.0,157.0,20.0,5.0,109.0,1.0,35.0,17.0,0.0,0.0,58.0,58.0,1.78,5.66,56.0,58.0
321.0,36.0,175.0,13.0,5.0,112.0,3.0,20.0,12.0,1.0,0.0,66.0,66.0,1.71,4.86,58.0,68.0
1145.0,141.0,609.0,18.0,5.0,439.0,17.0,155.0,68.0,6.0,0.0,223.0,221.0,1.57,5.14,192.0,232.0
547.0,71.0,250.0,13.0,6.0,192.0,7.0,33.0,24.0,3.0,2.0,107.0,107.0,1.5,5.11,100.0,108.0
146.0,27.0,69.0,3.0,3.0,46.0,3.0,10.0,1.0,0.0,0.0,27.0,26.0,1.8,5.46,23.0,26.0
